"Year","Month","DayofMonth","DayOfWeek","DepTime","ArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted"
2011,1,17,1,724,842,"AA",460,"N559AA",78,54,7,4,"IAH","DFW",224,12,12,0,"",0
2011,1,18,2,721,827,"AA",460,"N558AA",66,46,-8,1,"IAH","DFW",224,7,13,0,"",0
2011,1,19,3,714,833,"AA",460,"N574AA",79,51,-2,-6,"IAH","DFW",224,14,14,0,"",0
2011,1,20,4,719,822,"AA",460,"N471AA",63,44,-13,-1,"IAH","DFW",224,8,11,0,"",0
2011,1,21,5,712,811,"AA",460,"N278AA",59,40,-24,-8,"IAH","DFW",224,11,8,0,"",0
2011,1,22,6,717,829,"AA",460,"N499AA",72,47,-6,-3,"IAH","DFW",224,18,7,0,"",0
2011,1,23,7,710,814,"AA",460,"N556AA",64,42,-21,-10,"IAH","DFW",224,11,11,0,"",0
2011,1,24,1,731,904,"AA",460,"N545AA",93,42,29,11,"IAH","DFW",224,14,37,0,"",0
2011,1,25,2,719,818,"AA",460,"N541AA",59,40,-17,-1,"IAH","DFW",224,8,11,0,"",0
2011,1,26,3,716,824,"AA",460,"N512AA",68,44,-11,-4,"IAH","DFW",224,10,14,0,"",0
2011,1,27,4,715,825,"AA",460,"N4UCAA",70,44,-10,-5,"IAH","DFW",224,16,10,0,"",0
2011,1,28,5,741,846,"AA",460,"N403AA",65,44,11,21,"IAH","DFW",224,7,14,0,"",0
2011,1,29,6,720,825,"AA",460,"N557AA",65,43,-10,0,"IAH","DFW",224,12,10,0,"",0
2011,1,30,7,716,820,"AA",460,"N498AA",64,44,-15,-4,"IAH","DFW",224,11,9,0,"",0
2011,1,31,1,718,816,"AA",460,"N493AA",58,40,-19,-2,"IAH","DFW",224,10,8,0,"",0
2011,1,2,7,1959,2106,"AA",533,"N461AA",67,44,-14,-6,"IAH","DFW",224,12,11,0,"",0
2011,1,3,1,1958,2107,"AA",533,"N4XGAA",69,48,-13,-7,"IAH","DFW",224,5,16,0,"",0
2011,1,4,2,2100,2207,"AA",533,"N4XGAA",67,42,47,55,"IAH","DFW",224,3,22,0,"",0
2011,1,5,3,1958,2106,"AA",533,"N546AA",68,44,-14,-7,"IAH","DFW",224,13,11,0,"",0
2011,1,6,4,1955,2103,"AA",533,"N485AA",68,41,-17,-10,"IAH","DFW",224,14,13,0,"",0
2011,1,7,5,1958,2055,"AA",533,"N555AA",57,44,-25,-7,"IAH","DFW",224,3,10,0,"",0
2011,1,9,7,2045,2155,"AA",533,"N4WYAA",70,44,35,40,"IAH","DFW",224,11,15,0,"",0
2011,1,10,1,2029,2133,"AA",533,"N577AA",64,43,13,24,"IAH","DFW",224,10,11,0,"",0
2011,1,11,2,1953,2051,"AA",533,"N505AA",58,44,-29,-12,"IAH","DFW",224,3,11,0,"",0
2011,1,12,3,2015,2113,"AA",533,"N555AA",58,39,-7,10,"IAH","DFW",224,9,10,0,"",0
2011,1,13,4,2020,2116,"AA",533,"N4XCAA",56,44,-4,15,"IAH","DFW",224,4,8,0,"",0
2011,1,14,5,2119,2229,"AA",533,"N549AA",70,45,69,74,"IAH","DFW",224,5,20,0,"",0
2011,1,16,7,1956,2119,"AA",533,"N478AA",83,42,-1,-9,"IAH","DFW",224,18,23,0,"",0
2011,1,17,1,2030,2131,"AA",533,"N492AA",61,44,11,25,"IAH","DFW",224,5,12,0,"",0
2011,1,18,2,1957,2106,"AA",533,"N514AA",69,44,-14,-8,"IAH","DFW",224,10,15,0,"",0
2011,1,19,3,2029,2123,"AA",533,"N550AA",54,44,3,24,"IAH","DFW",224,4,6,0,"",0
2011,1,20,4,2004,2121,"AA",533,"N512AA",77,45,1,-1,"IAH","DFW",224,7,25,0,"",0
2011,1,21,5,2036,2134,"AA",533,"N505AA",58,45,14,31,"IAH","DFW",224,3,10,0,"",0
2011,1,23,7,2001,2057,"AA",533,"N530AA",56,39,-23,-4,"IAH","DFW",224,9,8,0,"",0
2011,1,24,1,2043,2139,"AA",533,"N4XJAA",56,41,19,38,"IAH","DFW",224,4,11,0,"",0
2011,1,25,2,2004,2107,"AA",533,"N585AA",63,44,-13,-1,"IAH","DFW",224,8,11,0,"",0
2011,1,26,3,2009,2103,"AA",533,"N403AA",54,39,-17,4,"IAH","DFW",224,9,6,0,"",0
2011,1,27,4,2039,2130,"AA",533,"N506AA",51,40,10,34,"IAH","DFW",224,2,9,0,"",0
2011,1,28,5,1959,2100,"AA",533,"N466AA",61,42,-20,-6,"IAH","DFW",224,8,11,0,"",0
2011,1,30,7,1959,2132,"AA",533,"N455AA",93,43,12,-6,"IAH","DFW",224,10,40,0,"",0
2011,1,31,1,1954,2105,"AA",533,"N477AA",71,38,-15,-11,"IAH","DFW",224,11,22,0,"",0
2011,1,1,6,1631,1736,"AA",1121,"N4WVAA",65,37,-9,1,"IAH","DFW",224,16,12,0,"",0
2011,1,2,7,1636,1759,"AA",1121,"N579AA",83,46,14,6,"IAH","DFW",224,24,13,0,"",0
2011,1,3,1,1623,1738,"AA",1121,"N468AA",75,47,-7,-7,"IAH","DFW",224,10,18,0,"",0
2011,1,4,2,1629,1732,"AA",1121,"N4WYAA",63,43,-13,-1,"IAH","DFW",224,9,11,0,"",0
2011,1,5,3,1629,1740,"AA",1121,"N481AA",71,43,-5,-1,"IAH","DFW",224,16,12,0,"",0
2011,1,6,4,1625,1732,"AA",1121,"N498AA",67,43,-13,-5,"IAH","DFW",224,13,11,0,"",0
2011,1,7,5,1630,1733,"AA",1121,"N525AA",63,43,-12,0,"IAH","DFW",224,6,14,0,"",0
2011,1,8,6,1627,1736,"AA",1121,"N583AA",69,45,-9,-3,"IAH","DFW",224,13,11,0,"",0
2011,1,9,7,1835,1951,"AA",1121,"N574AA",76,50,126,125,"IAH","DFW",224,9,17,0,"",0
2011,1,10,1,1639,1740,"AA",1121,"N531AA",61,41,-5,9,"IAH","DFW",224,8,12,0,"",0
2011,1,11,2,1752,1855,"AA",1121,"N586AA",63,41,70,82,"IAH","DFW",224,8,14,0,"",0
2011,1,12,3,1631,1739,"AA",1121,"N468AA",68,44,-6,1,"IAH","DFW",224,5,19,0,"",0
